Goles,Tiros Totales,xG,npxG,xAG,xA,Acciones_que_crean_tiros,Pases_progresivos,Pases_medios_completados,Pases_largos_completados,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Faltas_cometidas,Duelos_aereos_ganados,Veces_que_fue_barrido_regate,Toques_en_zona_ofensiva,Toques_en_area_rival,Pases_recibidos,Pases_progresivos_recibidos,Acarreos_ultimo_tercio,Regates_exitosos,Malos_controles,Perdida_balon,Centros,market_value_million_eur,age_years,GK,DF,MF,FW,nat_Other,nat_ar ARG,nat_be BEL,nat_br BRA,nat_ci CIV,nat_eng ENG,nat_es ESP,nat_fr FRA,nat_it ITA,nat_nl NED,nat_pt POR
0,6,0.2,0.2,2.0,2.2,38,42,239,63,33,517,196,0,118,510,1,34,1,15,10,11,273,10,443,53,11,11,12,6,118,6.5,28.087671232876712,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1,12,0.6000000000000001,0.6000000000000001,2.8,2.0,67,95,263,33,55,959,156,5,50,910,1,75,0,18,20,29,438,37,807,125,37,47,24,15,50,24.0,27.493150684931507,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,3,0.30000000000000004,0.30000000000000004,0.0,0.0,2,9,120,13,10,212,26,0,1,221,0,18,0,9,5,3,14,5,185,3,0,3,3,2,1,10.0,22.279452054794522,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,16,2.0,2.0,0.7,0.5,16,18,33,4,5,179,4,0,8,125,0,6,0,9,21,12,136,39,204,49,8,5,26,8,8,9.0,23.82191780821918,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,53,7.4,6.6,1.2000000000000002,1.2,54,60,112,9,31,619,21,2,42,453,0,16,0,18,26,31,495,131,678,190,65,40,56,41,42,12.0,23.43013698630137,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,3,0.30000000000000004,0.30000000000000004,0.0,0.0,4,13,46,15,6,102,11,0,0,86,0,28,0,8,5,1,8,4,78,0,1,3,1,1,0,7.5,26.01095890410959,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,0.0,0.0,0.30000000000000004,0.30000000000000004,8,3,16,6,0,80,7,0,12,54,0,5,0,5,1,7,62,12,79,27,5,2,9,4,12,0.7,26.326027397260273,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0.2,0.2,0.0,0.0,1,1,3,0,1,16,1,0,0,12,0,1,0,2,4,2,9,2,28,3,0,1,4,1,0,1.2,32.345205479452055,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,9,1.6,1.6,0.3,0.4,9,10,23,1,6,104,0,0,6,75,0,4,0,5,7,8,58,9,108,13,11,5,5,7,6,1.8,26.923287671232877,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0.0,0.0,0.0,0.0,1,2,48,6,0,66,2,0,0,65,0,13,0,1,1,0,2,0,63,0,0,2,1,1,0,0.3,35.00547945205479,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0.0,0.0,0.0,0.1,1,1,5,0,2,20,0,0,1,13,0,3,0,4,2,2,12,1,23,4,0,1,2,3,1,2.0,22.44109589041096,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
